Terminal log file
Date: 05.06.2017 - 14:18:49
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-586, -8066, 514
-560, -8100, 534
-614, -8056, 570
-608, -8074, 556
-806, -8090, 740
-1100, -7918, 1980
-600, -8218, 2262
-1460, -9362, 5166
-1446, -10202, 5680
-628, -10474, 5280
-994, -11402, 6180
142, -11884, 5384
642, -12244, 5526
1102, -11486, 6482
1128, -10832, 6288
1354, -9044, 6688
2256, -8154, 5494
1040, -5454, 5912
1222, -4012, 4572
1854, -1046, 3782
2032, 144, 2906
2306, 1530, 2276
2364, 2478, 868
532, 4116, 2382
2278, 4698, -1660
582, 5914, -1064
684, 6546, -2742
-806, 7376, -3422
-330, 6998, -8252
-1186, 7478, -7438
610, 7434, -8878
1976, 8928, -7934
1550, 8404, -6752
766, 5670, -5820
522, 7354, -4158
446, 5540, -4066
-702, 4678, -2346
1230, 4152, -1610
632, 550, 210
1230, 924, 3070
2630, -2758, 212
2132, -2906, 4250
2262, -6376, 7874
4288, -7692, 1878
6500, -9298, 2112
2928, -11808, 9918
5456, -15868, 266
1532, -12038, 13046
5170, -12182, 754
-1412, -14052, 7730
1780, -9364, 4288
516, -11610, 4298
1874, -8288, 3072
-2626, -9934, 5134
-1488, -7274, 1744
-984, -8018, 104
-358, -8050, 1702
1078, -8534, 876
650, -8414, 666

-----------------------------------------------
Date: 05.06.2017 - 14:18:52
End log file
