Terminal log file
Date: 05.06.2017 - 14:25:10
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-2524, -8414, 160
-5254, -9538, 4622
-2398, -8318, 5538
-4794, -10854, 8492
-3826, -11792, 7690
-3040, -13250, 7254
-2546, -14914, 7220
-818, -15978, 6824
334, -13544, 5390
-38, -12310, 5500
912, -9160, 4322
360, -6352, 3790
12, -3888, 2238
326, -1716, 882
-76, 584, 270
480, 3188, -1794
1486, 4488, -5146
-1462, 5600, -974
1890, 6138, -7698
2832, 5416, -11058
2666, 4600, -9858
4064, 7228, -9066
4964, 4888, -10482
2894, 5918, -7374
2532, 5290, -5588
2236, 5660, -4252
1538, 4986, -3052
1592, 3928, -2906
1124, 3392, -1494
-96, 1186, 1414
-666, 1368, 4034
884, -2206, 2742
-402, -3454, 2276
-2660, -5316, 6942
1116, -8580, 3842
912, -8752, 8542
728, -13622, 5346
-28, -14638, 5918
1212, -14806, 3402
-524, -12034, 8082
-802, -12796, 1362
-5656, -11596, 1966
-4714, -8624, 1594
-2274, -7354, -3588
-9720, -7646, 4838
-6120, -8320, 1296

-----------------------------------------------
Date: 05.06.2017 - 14:25:13
End log file
