Terminal log file
Date: 05.06.2017 - 14:25:25
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-2276, -7760, -420
-2330, -7754, -278
-2270, -7834, -256
-2352, -7870, -218
-2276, -8118, 98
-5528, -8930, 3474
-6356, -7288, 6326
-8540, -11116, 9270
-6764, -15166, 9654
-5442, -18512, 10778
-1284, -18424, 9522
-990, -18228, 8002
172, -15046, 5562
-202, -11494, 2924
1128, -6232, 90
-1936, -3348, 1118
-386, -286, 34
-136, 744, -2394
1790, 2774, -2174
690, 4004, -4952
-294, 6340, -5794
822, 5694, -11402
1292, 7200, -9592
2586, 6186, -12482
2056, 6790, -9366
3140, 6516, -7978
1952, 5270, -6526
1444, 5746, -4878
1336, 5748, -3830
630, 4528, -3486
-88, 3034, -936
538, 2078, 254
632, 108, 1904
-1148, -1178, 6888
1456, -2730, 2022
-1808, -1472, 11868
3358, -3382, 7800
3964, -6616, -1454
972, -6914, 9700
1818, -9496, 9128
1534, -10970, 2854
-1274, -9940, 8628
-2050, -10662, 8392
-426, -10982, 3646
-2790, -9534, 7794
-822, -8810, 2108
-3062, -8434, 2262
-3656, -8448, 810
-4328, -8344, -128
-1778, -7832, -306
-3576, -8536, 2986
-3312, -7150, 302
-2716, -8120, -364

-----------------------------------------------
Date: 05.06.2017 - 14:25:28
End log file
