Terminal log file
Date: 05.06.2017 - 14:21:24
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-1040, -8044, 286
-1238, -8264, 388
-2, -9374, 988
-2682, -6164, 11702
188, -13672, 7712
-2150, -13608, 11382
294, -14130, 7734
-1116, -14794, 8158
1294, -13242, 6918
1144, -11048, 7030
1312, -9524, 6360
2862, -6740, 4316
608, -4392, 4578
996, -2272, 3286
1476, 682, 1656
1068, 950, 1170
750, 3216, 564
540, 3292, -1396
706, 4042, -4668
-2212, 6618, -4708
-994, 7034, -10290
-110, 8660, -10040
-556, 6954, -8692
2058, 6418, -10908
718, 7268, -7006
1848, 6352, -6838
578, 5330, -4730
132, 5288, -3378
-254, 3336, -1658
630, 1984, 670
1184, -574, 1344
1608, -1096, 2318
3194, -1738, 5910
2914, -3850, 8396
4178, -7976, 2774
4550, -6882, 4238
3890, -9588, 6036
3486, -11384, 5910
4732, -13816, 4634
2822, -9074, 10432
1924, -13170, 2956
2638, -8774, 6556
1600, -10790, 2006
-42, -8922, 2508
8352, -7010, 1852
-5284, -12792, 2636
-7000, -9296, 5842

-----------------------------------------------
Date: 05.06.2017 - 14:21:27
End log file
