Terminal log file
Date: 05.06.2017 - 14:23:33
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-2114, -7842, -10
-2162, -7854, 98
-5978, -9810, 4016
-4894, -4214, 8310
-5934, -12990, 8458
-5328, -13910, 9632
-456, -14278, 6732
-736, -15976, 7244
1302, -13824, 6268
552, -12576, 7868
1566, -10106, 5630
-446, -8302, 5656
1416, -4854, 3540
-480, -2162, 2450
-552, -166, 3264
1000, 738, -2776
-344, 3380, 452
1132, 3098, -5098
-2902, 5252, -5378
54, 7234, -10028
-192, 7444, -9008
450, 6514, -9986
1460, 6382, -10024
1292, 6980, -8126
1318, 5798, -6542
1658, 5688, -4460
120, 5110, -3018
1726, 5292, -3194
580, 3942, -1010
1096, 1576, -72
64, 2238, 3384
1906, -1148, 1516
1244, -2718, 5952
1414, -5026, 3936
1516, -4382, 7570
1920, -7632, 5468
3420, -10236, 1576
1466, -11886, 7900
-104, -13316, 8018
-58, -12372, 4490
2680, -13116, 3522
-1880, -11326, 5590
-850, -10090, 2992
9282, -8118, -3824
-17786, -9846, 17080
-5588, -7316, 1476
-1936, -8106, -1826
-352, -6924, -2538
-2576, -7666, -1196

-----------------------------------------------
Date: 05.06.2017 - 14:23:35
End log file
