Terminal log file
Date: 05.06.2017 - 14:22:53
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-1728, -7962, -26
-2972, -8602, 1602
-3966, -8112, 4056
-1904, -10876, 8230
-3130, -13698, 10634
-1984, -15462, 10914
-328, -18256, 8444
-130, -17622, 7712
1926, -15662, 4508
222, -12922, 4998
494, -9698, 2706
298, -5282, 190
-790, -3324, 742
242, 1602, 764
496, 532, -1232
1884, 3488, -190
1746, 3012, -5364
-2370, 5452, -3974
-452, 6788, -8748
580, 9342, -13030
-1662, 6762, -6318
2460, 8234, -10762
4128, 6134, -10490
1360, 7510, -4468
3326, 5304, -6210
1402, 5986, -3080
740, 3462, -3320
420, 3128, -208
1394, 582, 98
854, -1204, 2656
3110, -3088, 1618
3410, -3836, 4408
940, -3628, 13410
5068, -8652, -394
5512, -7652, 6614
1618, -10664, 7934
4288, -12088, 1250
-930, -11212, 10060
442, -10296, 5812
-1158, -13688, 4064
-1704, -9932, 4412
-1128, -10396, 1942
15772, -14548, -3172
-8266, -8434, 10544
-4784, -10012, 2450
-1526, -6628, -2452
-1060, -7052, -2594

-----------------------------------------------
Date: 05.06.2017 - 14:22:55
End log file
