Terminal log file
Date: 05.06.2017 - 14:19:34
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-1388, -7954, 816
-1676, -8066, 1214
-1702, -7874, 2314
-1614, -7738, 2562
-3876, -8416, 7026
-2664, -10176, 6712
-1630, -11350, 6540
670, -12172, 5346
566, -12474, 5686
788, -12454, 5728
424, -12036, 6724
1476, -9846, 4764
1098, -8492, 5618
2578, -5238, 3964
1200, -4356, 6180
2734, -2348, 4194
2366, -612, 4080
2338, 720, 3348
778, 1756, 2014
1050, 3624, 272
548, 5114, 720
2228, 5760, -906
1814, 5320, -2146
858, 7084, -3958
2492, 8450, -8990
-2400, 9142, -1716
2704, 5488, -9030
3762, 6216, -9002
2586, 7838, -6528
2678, 5956, -6856
2074, 6668, -5094
1850, 6254, -4202
1642, 6264, -2666
1594, 4460, -1770
2238, 3560, -1358
1266, 4242, 2188
2978, 1838, 2026
3852, 534, 1990
930, 686, 5734
934, -2128, 3410
5192, -4354, 4064
3460, -6326, 4348
3118, -7548, 3408
4464, -9856, 8690
4790, -10626, 4532
1264, -13136, 3332
3246, -12274, 4200
3100, -11192, 5574
3452, -12880, 3204
-832, -9976, 5544
1034, -12182, 3156
974, -6792, 4744
-1876, -8106, 3514
-3628, -8444, 3268
-1020, -7726, -1134
-1222, -7668, 220

-----------------------------------------------
Date: 05.06.2017 - 14:19:36
End log file
