Terminal log file
Date: 05.06.2017 - 14:20:59
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-1852, -7884, -84
-1674, -7926, -156
-1748, -7942, -92
-1798, -7974, -76
-2380, -8394, 2850
-4732, -7250, 5888
-2872, -10800, 6580
-4082, -14776, 9312
-356, -16608, 7854
-210, -18736, 5418
998, -17534, 3758
1514, -15232, 2486
1506, -11430, 2612
440, -9114, 4158
2070, -5662, 1614
2008, -3466, 838
2032, -884, 432
36, 608, 2004
-480, 2604, 1178
1268, 2500, -3160
-1606, 5484, -4450
-1596, 7664, -6026
-1904, 7816, -7100
966, 6692, -10024
-240, 8940, -8002
1630, 8078, -10924
-1528, 8096, -5762
756, 7368, -7716
-720, 7002, -4550
100, 5792, -4742
198, 4746, -3730
20, 2170, -2268
486, 916, 2044
1156, -1686, 66
2558, -2270, 3248
2466, -4664, 5808
3512, -6188, 800
1086, -7708, 5618
3804, -10488, 4946
4424, -11490, 4214
3496, -15586, 3888
2244, -13788, 726
-210, -17006, 4014
2104, -13390, 4728
9396, -8012, 1074
-13818, -11192, 14996
-4478, -7162, 4178
156, -7500, -3738
-3716, -7798, -1560
-4834, -8052, 890
-1094, -9380, 654
2952, -7012, 710
4240, -7342, -3166

-----------------------------------------------
Date: 05.06.2017 - 14:21:02
End log file
