Terminal log file
Date: 05.06.2017 - 14:24:44
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-2382, -7756, -512
-2372, -7818, -516
-2338, -7780, -476
-2416, -7860, -318
-4212, -8594, 1602
-8080, -7238, 7264
-9118, -11212, 5486
-6864, -13184, 4302
-4628, -14904, 6792
-4102, -19270, 5338
316, -16312, 3736
-1524, -17092, 5164
2372, -11650, 834
-550, -10322, 2354
2104, -4932, 558
-1014, -3210, 2608
2480, 410, -136
-132, 1556, 6
1426, 2446, -1222
880, 4350, -4714
-376, 6792, -5540
326, 6304, -8308
2114, 7088, -11292
-756, 8744, -9478
790, 9224, -9678
462, 7896, -7748
916, 7076, -5952
1160, 6928, -3742
1716, 5728, -3122
640, 4734, -1214
2504, 4098, -2942
904, 3230, 1032
524, 1454, 3208
1712, -410, 1756
302, -1226, 7312
3078, -4346, 942
1998, -5454, 7006
2086, -6110, 7546
3488, -9790, 3202
3976, -10718, 6976
3270, -11866, 1972
1444, -13652, 2818
-1620, -13488, 6422
3038, -12502, 1436
-3588, -11862, 5694
-2510, -9810, 4594
1342, -9732, -2190
-2896, -6774, -98
-6718, -8314, 2402
-5176, -7720, 2074
-2396, -7688, -652
-2818, -8212, 1576
-986, -8170, -296

-----------------------------------------------
Date: 05.06.2017 - 14:24:47
End log file
