Terminal log file
Date: 05.06.2017 - 14:20:39
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-910, -8120, 148
-988, -8112, 528
-1112, -8834, 1710
-1246, -7404, 4224
-1822, -10824, 8196
-604, -12388, 7940
-616, -14160, 8460
1770, -14506, 5828
402, -15478, 6750
1286, -14418, 5874
2570, -13046, 5648
1536, -10482, 6388
1560, -8360, 4016
1026, -5472, 2488
676, -2464, 2286
1330, -418, 880
690, 1432, 220
-340, 3596, 294
46, 2832, -646
420, 5784, -4554
-1108, 6178, -5944
-382, 7624, -8576
314, 7992, -8374
1328, 5244, -10136
2140, 5648, -9286
2126, 7016, -8186
1978, 6756, -7598
364, 6744, -4708
1062, 6382, -3960
1698, 4314, -3460
980, 4040, -1008
1678, 2066, -928
1202, 1938, 1806
504, 1368, 4608
3880, -1906, 158
3222, -1836, 5192
1258, -3864, 10122
3710, -6074, 1030
3312, -7220, 4658
2976, -8878, 8676
2900, -11630, 1490
-1204, -13888, 8194
612, -12396, 9470
2184, -11108, 3632
-2724, -12232, 6918
90, -8814, 2920
-854, -9016, 3224
-966, -8894, 1616
462, -8604, 2262
-2422, -10668, 3368
-3312, -7838, 3456
-2282, -8172, -298
-1896, -7550, -1814
-1826, -7880, -738

-----------------------------------------------
Date: 05.06.2017 - 14:20:41
End log file
