Terminal log file
Date: 04.04.2017 - 14:08:57
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-324, -7768, 2006
-314, -7744, 1892
-298, -7698, 1982
-348, -7790, 1916
-398, -7758, 1886
-800, -7744, 2186
-1154, -7876, 2818
-592, -7242, 3042
-506, -8106, 4478
-864, -8408, 5528
-266, -8754, 5858
-286, -9240, 7332
720, -10020, 5660
506, -9596, 6696
-1228, -9242, 10126
828, -9666, 7076
266, -7798, 8528
826, -7158, 7506
452, -5182, 6944
498, -4048, 5842
506, -1400, 5298
1502, -366, 4726
1282, 1564, 4296
3042, 1870, 1494
504, 4842, 3770
1342, 4934, 2386
3350, 4860, -854
2580, 6704, 1030
1844, 6542, 1490
2206, 7008, 376
2634, 6590, -1882
2526, 7546, -410
3102, 7194, -1584
1966, 6508, -1956
622, 6436, -3612
2010, 9138, -4332
1464, 7654, -4218
2632, 7456, -5202
2224, 7592, -5692
1740, 7402, -4668
2006, 7292, -3190
1638, 6862, -1172
2994, 6770, -1630
2232, 5584, 816
2736, 5732, -932
1904, 4454, 1054
2866, 4146, 1904
2628, 2118, 3016
2766, 3776, 8014
2098, -400, 484
946, -312, 6356
1580, -898, 8614
406, -2840, 6272
1136, -4560, 7626
2724, -5700, 6926
1694, -8240, 3040
-2364, -8766, 15344
4134, -7640, 2646
-2774, -9688, 11156
3022, -7488, 5980
2046, -8434, 2470
-3618, -11662, 6196
-1146, -6796, 5102
88, -9244, 3300
-1562, -8288, 4464
-1656, -7854, 4672
-970, -6866, 3952
-658, -7324, 2886
-1426, -7188, 3968
-916, -7342, 2820

-----------------------------------------------
Date: 04.04.2017 - 14:09:01
End log file
