Terminal log file
Date: 24.03.2017 - 10:45:28
-----------------------------------------------
%~>
%~>daq start

 DAQ started.
%~>quit
%~>-740, 8294, 2058
-1002, 8688, 3084
-1182, 9166, 4560
-1544, 10026, 6248
-1860, 10408, 6920
-1754, 11356, 6732
-1862, 11312, 5824
-2334, 11354, 6364
-1680, 9926, 5648
-1254, 8748, 6112
-1248, 6920, 6682
-1406, 5750, 7310
-1216, 4220, 6674
-874, 2882, 6550
392, 1778, 4958
-346, 364, 5842
-316, -854, 4578
642, -2118, 3398
-66, -3330, 3538
92, -4078, 3152
-640, -4852, 2752
-860, -5716, 2252
-234, -6298, 2164
362, -6302, -34
-1168, -6588, -1166
38, -7268, -2550
1294, -6698, -4014
1012, -7254, -5138
1232, -7542, -7054
1364, -7740, -8032
326, -7266, -6758
752, -7364, -5960
1038, -6254, -5408
1026, -5972, -3996
1254, -5188, -1476
1158, -4246, 72
100, -3870, 1412
-364, -2952, 2408
-1006, -2232, 4276
-906, -1640, 4664
-1316, 366, 5660
-1808, 1474, 6132
-1732, 2414, 5932
-2924, 4250, 7894
-3228, 4772, 7086
-2922, 6600, 6658
-3260, 8366, 8588
-2526, 9910, 4694
-2298, 10728, 5868
-1442, 11776, 3994
-1286, 11826, 3646
-3222, 11708, 5124
-4890, 11380, 7254
-5582, 10144, 7682
-3490, 8874, 6186
-1900, 8206, 3788
384, 8084, 110
822, 8284, -740
-702, 7924, -76
-610, 7936, 402
-334, 8216, 414
-240, 8080, 590

-----------------------------------------------
Date: 24.03.2017 - 10:45:32
End log file
