Terminal log file
Date: 24.03.2017 - 10:41:32
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>264, 8118, 942
144, 8268, 1144
-224, 8294, 1608
-484, 8094, 2432
-1248, 8658, 3214
-1280, 9190, 3972
-916, 9322, 4768
-1168, 10042, 5934
-1632, 10314, 6126
-1382, 10382, 5844
-2204, 10290, 6696
-2498, 9996, 7238
-1988, 9486, 8764
-1738, 8716, 8200
-1366, 7516, 7504
-1586, 6296, 7286
-600, 5054, 5850
-132, 3122, 5486
-284, 1616, 5310
174, 116, 2928
260, -1600, 1940
-748, -3252, 1838
-1100, -4626, 1234
-118, -5666, 376
808, -6402, -1202
-328, -7162, -804
-568, -7146, -548
-700, -6898, -1488
-1074, -7294, -2570
-760, -7492, -4306
-112, -7506, -6094
-156, -7834, -7154
-400, -7222, -7664
520, -7966, -6184
-438, -7178, -4944
358, -6754, -3442
62, -6860, -1916
628, -6640, -2276
552, -6038, -378
998, -6342, -278
536, -5962, 1200
-242, -4856, 1700
-1074, -4704, 2664
-1100, -3554, 3690
-1260, -3402, 4250
-1754, -2244, 4954
-2068, -850, 5200
-2476, 508, 6254
-2976, 1992, 5792
-3038, 3238, 6522
-4536, 4802, 7520
-3988, 5164, 6968
-4068, 5866, 6754
-3484, 7562, 5258
-4346, 8046, 7230
-2142, 9776, 5030
-1636, 10256, 4654
-1190, 10526, 4382
-2192, 10490, 4250
-4466, 10190, 6624
-3696, 9164, 6026
304, 8352, 2530
612, 8430, 2854
14, 8070, 2644
60, 8422, 2004
328, 8328, 950
368, 8170, 852
510, 7958, 428
432, 8024, 572

-----------------------------------------------
Date: 24.03.2017 - 10:41:36
End log file
