Terminal log file
Date: 24.03.2017 - 10:47:11
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-418, 7952, 1006
-874, 7926, 2094
-776, 8054, 2758
-1104, 8594, 3228
-842, 8902, 3314
-868, 9078, 3972
-1160, 9624, 5418
-1550, 10112, 6346
-1788, 10422, 6120
-2006, 10316, 6342
-2528, 9984, 6666
-2100, 9266, 6728
-1980, 8062, 6748
-1918, 6774, 7282
-1554, 5818, 6224
-1926, 4976, 7356
-570, 3216, 5894
-646, 1668, 5806
-434, 392, 5102
-808, -1364, 4238
-1054, -2460, 3594
-1020, -3614, 2952
-894, -4600, 1940
-990, -5380, 1334
-616, -6060, 1132
1046, -6566, -1132
-592, -6222, 448
1080, -6542, -1570
1238, -6906, -3306
954, -6718, -5074
1562, -7214, -8002
1288, -7306, -8734
1926, -7188, -9304
1486, -6694, -6428
1570, -6790, -5756
574, -5916, -3264
344, -5862, -1988
300, -5098, -300
2392, -5232, -1182
1326, -4138, 1406
398, -3330, 1872
-598, -2310, 3496
-92, -910, 4480
-166, 934, 4592
-860, 1764, 5164
-1954, 3508, 8228
-1406, 4262, 7838
-1936, 5744, 7220
-1836, 8636, 6208
-4148, 9986, 8086
-2608, 10216, 6062
-2736, 11870, 7470
-2692, 12062, 5100
-3280, 10730, 5638
-4742, 10694, 7926
-3978, 9372, 8212
-1068, 8162, 5858
16, 8258, 4190
-110, 8414, 1172
94, 8128, 614
-660, 8064, 326
-332, 8094, 790
-178, 7750, 136

-----------------------------------------------
Date: 24.03.2017 - 10:47:14
End log file
