Terminal log file
Date: 24.03.2017 - 10:45:50
-----------------------------------------------

%~>daq start

 DAQ started.
%~>quit
%~>-96, 8162, 826
-42, 8274, 1100
-540, 8078, 2180
-320, 8542, 2980
-232, 9160, 3472
-1552, 9750, 5532
-2336, 10278, 7398
-1288, 10604, 5892
-2066, 10806, 6454
-1200, 10212, 5984
-832, 9938, 6140
-1146, 9114, 6980
-1118, 8060, 7152
-746, 6962, 6918
-1016, 5322, 7494
-700, 4486, 6948
208, 2838, 6072
-94, 1334, 6472
296, 310, 4730
236, -1014, 4140
-252, -2502, 4468
302, -3618, 2936
168, -3866, 1096
-60, -4734, -378
528, -6102, -1762
-450, -6476, -1050
1592, -6672, -4342
1306, -6592, -5674
1904, -6590, -7808
1434, -6876, -8456
1306, -6970, -8100
574, -7132, -6062
44, -6906, -3818
-644, -7266, -2012
38, -7414, -2112
-444, -7198, -300
550, -6812, -922
310, -6210, -374
468, -5612, 882
1928, -6002, -1200
-1292, -4136, 2060
-1840, -3484, 3482
-1158, -2782, 3306
-630, -1438, 3996
-1276, 744, 5946
-1316, 1834, 4756
-2494, 3380, 5956
-4378, 5226, 9286
-3370, 5678, 6892
-3342, 7952, 7260
-3290, 8672, 6166
-2830, 9434, 7528
-3084, 10616, 6284
-3044, 11682, 5776
-3004, 10684, 6310
-2316, 9936, 6792
-2098, 9060, 6706
-678, 8560, 5430
-816, 7854, 4212
464, 8144, 2228
-56, 8032, 236
-238, 8104, 480
-214, 7786, 804
12, 8100, 560
138, 7772, 470
-192, 7852, 1036

-----------------------------------------------
Date: 24.03.2017 - 10:45:53
End log file
